Name;Start Oscillation;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\OscillationsDownwards\100bar_35signal_PF_26.03.26.csv;;;;;;;;;;;;;;;
Starttime of export;1,3419E+17;torsdag 26. mars 2026;11:46:43.395;;;;;;;;;;;;;
Endtime of export;1,3419E+17;torsdag 26. mars 2026;11:46:51.490;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPistonPosition;fPs;fPsFiltered;fU;fUpfb;fPxGrad;fUpfbGrad;fPx;fU_TestValue;fTimer
0;65,15091403;65,95233259;0,109866634;0,126650393;0,109866634;0,111431993;0,300308438;99,53917051;100,9660676;0,581955455;0,004044545;0;-0,449393877;0,109866634;0,35;0,032
0;65,18753624;65,95225878;0,09765923;0,126602428;0,09765923;0,111431205;0,300308438;99,56358531;100,9653272;0,588463611;-0,002463611;-12,20740379;-6,508156385;0,09765923;0,35;0,033
0;65,17532884;65,95230008;0,109866634;0,126516318;0,09765923;0,111392126;0,300340632;99,47813349;100,9646656;0,58821725;-0,00221725;0;0,246361149;0,09765923;0,35;0,034
0;65,17532884;65,95230295;0,109866634;0,126468769;0,09765923;0,111353167;0,300308438;99,42930387;100,9637381;0,587995525;-0,001995525;0;0,221725034;0,09765923;0,35;0,035
0;65,21195105;65,95230582;0,109866634;0,126421367;0,09765923;0,111314329;0,300308438;99,47813349;100,9626602;0,587795973;-0,001795973;0;0,199552531;0,09765923;0,35;0,036
0;65,21195105;65,95242356;0,109866634;0,126374113;0,09765923;0,111275612;0,300244047;99,47813349;100,9617388;0,587616375;-0,001616375;0;0,179597278;0,09765923;0,35;0,037
0;65,22415845;65,95254094;0,09765923;0,126327005;0,09765923;0,111237015;0,300244047;99,42930387;100,9608204;0,587454738;-0,001454738;0;0,16163755;0,09765923;0,35;0,038
0;65,24857326;65,95269625;0,09765923;0,126241748;0,09765923;0,111198537;0,300308438;99,35605945;100,9597515;0,587309264;-0,001309264;0;0,145473795;0,09765923;0,35;0,039
0;65,23636586;65,95292766;0,09765923;0,126156755;0,109866634;0,111160178;0,300244047;99,36826685;100,9584563;0,581074636;0,004925364;12,20740379;6,234628311;0,109866634;0,35;0,04
0;65,23636586;65,95312007;0,09765923;0,126072026;0,09765923;0,111160233;0,300308438;99,41709647;100,9572033;0,587670874;-0,001670874;-12,20740379;-6,596238311;0,09765923;0,35;0,041
0;65,23636586;65,95331187;0,09765923;0,12598756;0,09765923;0,111121994;0,300308438;99,41709647;100,9561074;0,587503787;-0,001503787;0;0,167087415;0,09765923;0,35;0,042
0;65,23636586;65,95350309;0,09765923;0,125903356;0,109866634;0,111083873;0,300308438;99,36826685;100,9550149;0,581249706;0,004750294;12,20740379;6,254080569;0,109866634;0,35;0,043
0;65,22415845;65,95369371;0,09765923;0,125819412;0,109866634;0,111084164;0,300308438;99,34385205;100,9537726;0,581724736;0,004275264;0;-0,475029383;0,109866634;0,35;0,044
0;65,23636586;65,95384544;0,09765923;0,125735729;0,122074038;0,111084455;0,300308438;99,39268166;100,9524576;0,57604856;0,00995144;12,20740379;5,676175451;0,122074038;0,35;0,045
0;65,21195105;65,954035;0,09765923;0,125652305;0,122074038;0,111123039;0,300244047;99,40488907;100,9512998;0,577043704;0,008956296;0;-0,99514399;0,122074038;0,35;0,046
0;65,21195105;65,95414738;0,09765923;0,12556914;0,122074038;0,111161504;0,300244047;99,40488907;100,9501839;0,577939334;0,008060666;0;-0,895629591;0,122074038;0,35;0,047
0;65,18753624;65,95425942;0,09765923;0,125486233;0,122074038;0,11119985;0,300244047;99,36826685;100,9490715;0,5787454;0,0072546;0;-0,806066632;0,122074038;0,35;0,048
0;65,21195105;65,95429451;0,09765923;0,125403583;0,122074038;0,111238076;0,300244047;99,42930387;100,9478476;0,57947086;0,00652914;0;-0,725459969;0,122074038;0,35;0,049
0;65,21195105;65,95440609;0,09765923;0,125321189;0,122074038;0,111276185;0,300244047;99,47813349;100,946819;0,580123774;0,005876226;0;-0,652913972;0,122074038;0,35;0,05
0;65,17532884;65,95451732;0,109866634;0,12523905;0,122074038;0,111314175;0,300244047;99,44151128;100,9459468;0,580711397;0,005288603;0;-0,587622575;0,122074038;0,35;0,051
