Name;YT Scope Project;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown110Bar060326\Down110Bar65Signal060326.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34173E+17;fredag 6. mars 2026;08:09:24.915;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34173E+17;fredag 6. mars 2026;08:09:33.735;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;;;;;;;;;;
46,506;0;-1;0,452408924;0,441215158;-0,383104126;60,62196722;61,34718176;0,122074038;0,145806552;0,109866634;0,11282625;108,8412122;110,1365603;;;;;;;;;;
46,507;0;-1;0,452408924;0,441215158;-0,373280943;60,60975982;61,34717661;0,122074038;0,145737498;0,109866634;0,112821141;108,8778344;110,1365718;;;;;;;;;;
46,508;0;-1;0,452408924;0,441215158;-0,373280943;60,60975982;61,34713318;0,122074038;0,145668658;0,109866634;0,112816047;108,8778344;110,1366982;;;;;;;;;;
46,509;0;-1;0,452408924;0,441215158;-0,36345776;60,60975982;61,34708988;0,122074038;0,145600032;0,109866634;0,112810969;108,8412122;110,1368242;;;;;;;;;;
46,51;0;-1;0,452408924;0,441215158;-0,373280943;60,60975982;61,34704672;0,122074038;0,145531618;0,109866634;0,112805906;108,865627;110,136835;;;;;;;;;;
46,511;0;-1;0,452408924;0,441215158;-0,353634578;60,60975982;61,34700369;0,122074038;0,145463416;0,109866634;0,11280086;108,8900418;110,1369223;;;;;;;;;;
46,512;0;-1;0,452408924;0,441215158;-0,353634578;60,59755242;61,3469608;0,122074038;0,145395426;0,109866634;0,112795828;108,8778344;110,1370859;;;;;;;;;;
46,513;0;-1;0,452408924;0,441215158;-0,343811395;60,59755242;61,34687974;0,122074038;0,145327646;0,109866634;0,112790813;108,8778344;110,1372107;;;;;;;;;;
46,514;0;-1;0,452408924;0,441215158;-0,333988212;60,59755242;61,34679894;0,134281442;0,145260077;0,09765923;0,112785813;108,8412122;110,1373351;;;;;;;;;;
46,515;0;-1;0,452408924;0,441215158;-0,353634578;60,59755242;61,34671838;0,134281442;0,145231011;0,109866634;0,112742534;108,8900418;110,1373442;;;;;;;;;;
