Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\pB_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34231E+17;onsdag 13. mai 2026;11:43:07.601;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34231E+17;onsdag 13. mai 2026;11:44:03.687;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
0,021;-0,617426022;0,078193584;0,076980896;0;76,84560686;71,808648;0,146488845;0,1413743;0,073244423;0,109331229;120,2673421;121,8335589;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,94E-68;3,27E-66;0;0;2,94E-68;0,030269128
0,022;-0,617426022;0,078193584;0,076980896;0;76,79677725;71,82710586;0,134281442;0,141395575;0,09765923;0,10922207;120,2063051;121,8331536;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,65E-68;2,94E-66;0;0;2,65E-68;0,030269128
0,023;-0,494598403;0,078193584;0,076980896;0;76,77236244;71,84535332;0,134281442;0,14137849;0,09765923;0,109189838;120,2063051;121,832558;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,38E-68;2,65E-66;0;0;2,38E-68;0,030269128
0,024;-0,371535932;0,078193584;0,076980896;0;76,74794763;71,86346763;0,134281442;0,141361457;0,109866634;0,109157707;120,2795495;121,8319642;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,14E-68;2,38E-66;0;0;2,14E-68;0,030269128
0,025;-0,247768906;0,078226563;0,077012214;0;76,74794763;71,88144919;0,134281442;0,141344477;0,109866634;0,10916397;120,2795495;121,8316021;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,93E-68;2,14E-66;0;0;1,93E-68;0,030269128
0,026;-0,124471583;0,078226563;0,077012214;0;76,68691061;71,89937501;0,122074038;0,14132755;0,109866634;0,109170213;120,2673421;121,8312411;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,74E-68;1,93E-66;0;0;1,74E-68;0,030269128
0,027;0;0,078226563;0,077012214;0;76,6502884;71,91705378;0,122074038;0,141272381;0,109866634;0,109176437;120,2063051;121,8308429;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,56E-68;1,74E-66;0;0;1,56E-68;0,030269128
0,028;0;0,078226563;0,077012214;0;76,58925138;71,93456287;0,122074038;0,141217383;0,09765923;0,109182642;120,2185125;121,8302544;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,41E-68;1,56E-66;0;0;1,41E-68;0,030269128
0,029;0;0,078226563;0,077012214;0;76,52821436;71,95182621;0,134281442;0,141162556;0,109866634;0,109150532;120,2673421;121,8297061;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,27E-68;1,41E-66;0;0;1,27E-68;0,030269128
0,03;0;0,078226563;0,077012214;0;76,52821436;71,96884456;0,134281442;0,141146193;0,109866634;0,109156817;120,2673421;121,8293127;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,14E-68;1,27E-66;0;0;1,14E-68;0,030269128
