Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\SineWave_speedtreshold0.02_KvFF_PF_100bar_0.1freq_24.04.26.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34215E+17;fredag 24. april 2026;08:06:38.351;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34215E+17;fredag 24. april 2026;08:07:38.506;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPID;fPxGrad;fUpfb;fUpfbGrad;fPx
0,02;1,31E-52;-0,740018788;0,034629916;0,034606953;-0,373280943;71,38889737;72,09118466;0,122074038;0,132603169;0,09765923;0,10708415;101,4191107;102,5805771;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,31E-52;1,46E-50;0
0,021;1,18E-52;-0,61719117;0,034629916;0,034606953;-0,343811395;71,40110477;72,09164896;0,122074038;0,132575045;0,09765923;0,107058546;101,4069033;102,5807291;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,18E-52;1,31E-50;0
0,022;1,06E-52;-0,494598403;0,034629916;0,034606953;-0,353634578;71,38889737;72,09215011;0,109866634;0,132547009;0,09765923;0,107033022;101,3702811;102,5808423;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,06E-52;1,18E-50;0
0,023;9,56E-53;-0,371066228;0,034629916;0,034606953;-0,333988212;71,38889737;72,09261142;0,109866634;0,132480764;0,09765923;0,107007577;101,3702811;102,5808402;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-9,56E-53;1,06E-50;0
0,024;8,60E-53;-0,371066228;0,034629916;0,034606953;-0,353634578;71,38889737;72,09307129;0,122074038;0,132414726;0,09765923;0,10698221;101,3824885;102,5808382;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-8,60E-53;9,56E-51;0
0,025;7,74E-53;-0,247768906;0,034629916;0,034606953;-0,36345776;71,38889737;72,09352974;0,122074038;0,132387186;0,09765923;0,106956922;101,4069033;102,5808745;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-7,74E-53;8,60E-51;0
0,026;6,97E-53;-0,124471583;0,034629916;0,034606953;-0,324165029;71,40110477;72,09398677;0,134281442;0,132359732;0,09765923;0,106931713;101,3702811;102,5809872;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-6,97E-53;7,74E-51;0
0,027;6,27E-53;0;0,034629916;0,034606953;-0,343811395;71,40110477;72,09448068;0,134281442;0,132370658;0,073244423;0,106906581;101,3702811;102,5809847;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-6,27E-53;6,97E-51;0
0,028;5,64E-53;0;0,034629916;0,034606953;-0,304518664;71,40110477;72,09497305;0,134281442;0,13238155;0,073244423;0,106804939;101,3702811;102,5809823;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-5,64E-53;6,27E-51;0
0,029;5,08E-53;0;0,034629916;0,034606953;-0,36345776;71,41331217;72,0954639;0,134281442;0,132392408;0,073244423;0,106703611;101,4069033;102,5809798;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-5,08E-53;5,64E-51;0
