Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\Ramp_04.05.26.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34223E+17;mandag 4. mai 2026;08:02:17.201;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34223E+17;mandag 4. mai 2026;08:03:05.623;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPID;fPxGrad;fUpfb;fUpfbGrad;fPx
0,029;0;0;0,03456696;0,034544316;-0,392927308;67,93420209;68,7635605;0,109866634;0,124493161;0,109866634;0,108611209;95,73046052;96,86546033;0;0;0;0;0;0;0;0;0;0
0,03;0;0;0,03456696;0,034544316;-0,451866405;67,93420209;68,76350305;0,109866634;0,124451884;0,109866634;0,108619166;95,73046052;96,86548385;0;0;0;0;0;0;0;0;0;0
0,031;0;0;0,03456696;0,034544316;-0,412573674;67,9464095;68,76344579;0,109866634;0,124410735;0,109866634;0,108627098;95,68163091;96,86550731;0;0;0;0;0;0;0;0;0;0
0,032;0;0;0,03456696;0,034544316;-0,432220039;67,9586169;68,76342699;0,109866634;0,124369713;0,109866634;0,108635006;95,74266793;96,86537751;0;0;0;0;0;0;0;0;0;0
0,033;0;0;0,03456696;0,034544316;-0,442043222;67,9586169;68,76344655;0,109866634;0,124328819;0,109866634;0,108642889;95,74266793;96,86543959;0;0;0;0;0;0;0;0;0;0
0,034;0;0;0,03456696;0,034544316;-0,412573674;67,9708243;68,76346604;0,122074038;0,124288051;0,122074038;0,108650748;95,69383831;96,86550148;0;0;0;0;0;0;0;0;0;0
0,035;0;0;0,03456696;0,034544316;-0,432220039;67,9708243;68,76352378;0,122074038;0,124285704;0,122074038;0,108696877;95,69383831;96,86540999;0;0;0;0;0;0;0;0;0;0
0,036;0;0;0,03456696;0,034544316;-0,432220039;67,99523911;68,76358133;0,122074038;0,124283365;0,122074038;0,108742863;95,74266793;96,86531879;0;0;0;0;0;0;0;0;0;0
0,037;0;0;0,03456696;0,034544316;-0,451866405;67,9586169;68,76371529;0,122074038;0,124281033;0,122074038;0,108788706;95,77929014;96,86538106;0;0;0;0;0;0;0;0;0;0
0,038;0;0;0,03456696;0,034544316;-0,432220039;67,9708243;68,76373395;0,122074038;0,124278708;0,122074038;0,108834407;95,76708274;96,86555801;0;0;0;0;0;0;0;0;0;0
0,039;0;0,00395165;0,03456696;0,034544316;-0,451866405;67,9586169;68,76379086;0,122074038;0,12427639;0,122074038;0,108879967;95,74266793;96,86569612;0;0;0;0;0;0;0;0;0;0
0,04;0;0,004649;0,034535483;0,034512997;-0,432220039;67,9586169;68,76380928;0,122074038;0,124274079;0,122074038;0,108925385;95,74266793;96,86575721;0;0;0;0;0;0;0;0;0;0
0,041;0;0,005113901;0,034535483;0,034512997;-0,442043222;67,9464095;68,76382766;0,109866634;0,124271776;0,122074038;0,108970663;95,77929014;96,86581811;0;0;0;0;0;0;0;0;0;0
0,042;0;0,005113901;0,034535483;0,034512997;-0,442043222;67,9464095;68,76380768;0,109866634;0,124231185;0,122074038;0,1090158;95,79149754;96,86599371;0;0;0;0;0;0;0;0;0;0
0,043;0;0,005113901;0,034535483;0,034512997;-0,461689587;67,9464095;68,76378776;0,109866634;0,12419072;0,122074038;0,109060797;95,74266793;96,86620705;0;0;0;0;0;0;0;0;0;0
0,044;0;0,00441655;0,034535483;0,034512997;-0,432220039;67,92199469;68,76376791;0,109866634;0,124150381;0,122074038;0,109105655;95,73046052;96,86626656;0;0;0;0;0;0;0;0;0;0
0,045;0;0,00395165;0,03456696;0,034544316;-0,442043222;67,92199469;68,76367152;0,109866634;0,124110166;0,122074038;0,109150374;95,73046052;96,86628759;0;0;0;0;0;0;0;0;0;0
0,046;0;0,00395165;0,03456696;0,034544316;-0,461689587;67,92199469;68,76357544;0,109866634;0,124070076;0,122074038;0,109194954;95,77929014;96,86630855;0;0;0;0;0;0;0;0;0;0
0,047;0;0,00395165;0,03456696;0,034544316;-0,442043222;67,93420209;68,76347965;0,122074038;0,12403011;0,122074038;0,109239396;95,76708274;96,86648263;0;0;0;0;0;0;0;0;0;0
0,048;0;0,0037192;0,03456696;0,034544316;-0,47151277;67,93420209;68,76342246;0,122074038;0,124028563;0,122074038;0,1092837;95,73046052;96,86661787;0;0;0;0;0;0;0;0;0;0
0,049;0;0,00395165;0,03456696;0,034544316;-0,442043222;67,92199469;68,76336544;0,122074038;0,124027021;0,134281442;0,109327867;95,76708274;96,86663781;0;0;0;0;0;0;0;0;0;0
0,05;0;0,0041841;0,03456696;0,034544316;-0,461689587;67,92199469;68,7632703;0,122074038;0,124025484;0,134281442;0,109410191;95,76708274;96,86677257;0;0;0;0;0;0;0;0;0;0
0,051;0;0,0041841;0,03456696;0,034544316;-0,412573674;67,90978729;68,76317546;0,122074038;0,124023951;0,134281442;0,10949226;95,80370495;96,86690692;0;0;0;0;0;0;0;0;0;0
0,052;0;0,0041841;0,03456696;0,034544316;-0,461689587;67,90978729;68,76304262;0,122074038;0,124022423;0,134281442;0,109574075;95,76708274;96,86715573;0;0;0;0;0;0;0;0;0;0
0,053;0;0,00488145;0,034535483;0,034512997;-0,432220039;67,90978729;68,76291019;0,122074038;0,1240209;0,134281442;0,109655637;95,75487533;96,86728888;0;0;0;0;0;0;0;0;0;0
0,054;0;0,005811251;0,034535483;0,034512997;-0,47151277;67,88537248;68,76277817;0,109866634;0,124019381;0,134281442;0,109736945;95,76708274;96,86738333;0;0;0;0;0;0;0;0;0;0
0,055;0;0,005578801;0,034535483;0,034512997;-0,432220039;67,88537248;68,76256997;0,109866634;0,123979573;0,134281442;0,109818001;95,76708274;96,86751578;0;0;0;0;0;0;0;0;0;0
0,056;0;0,005113901;0,034535483;0,034512997;-0,461689587;67,88537248;68,76236242;0,122074038;0,123939888;0,134281442;0,109898806;95,73046052;96,86764782;0;0;0;0;0;0;0;0;0;0
0,057;0;0,005113901;0,034535483;0,034512997;-0,442043222;67,90978729;68,76215551;0,122074038;0,12393862;0,134281442;0,109979361;95,69383831;96,86766457;0;0;0;0;0;0;0;0;0;0
0,058;0;0,00488145;0,034535483;0,034512997;-0,432220039;67,90978729;68,76202583;0,122074038;0,123937357;0,134281442;0,110059666;95,69383831;96,86756638;0;0;0;0;0;0;0;0;0;0
0,059;0;0,004649;0,03456696;0,034544316;-0,461689587;67,92199469;68,76189655;0,122074038;0,123936097;0,134281442;0,110139722;95,74266793;96,86746849;0;0;0;0;0;0;0;0;0;0
0,06;0;0,0041841;0,03456696;0,034544316;-0,432220039;67,92199469;68,76180597;0,122074038;0,123934842;0,134281442;0,110219529;95,74266793;96,86752409;0;0;0;0;0;0;0;0;0;0
0,061;0;0,00395165;0,03456696;0,034544316;-0,442043222;67,9464095;68,76171567;0,134281442;0,12393359;0,134281442;0,11029909;95,69383831;96,86757951;0;0;0;0;0;0;0;0;0;0
0,062;0;0,00395165;0,03456696;0,034544316;-0,392927308;67,93420209;68,76170224;0,134281442;0,123970637;0,134281442;0,110378404;95,68163091;96,86748159;0;0;0;0;0;0;0;0;0;0
0,063;0;0,0037192;0,03456696;0,034544316;-0,412573674;67,93420209;68,76165055;0,134281442;0,124007568;0,134281442;0,110457471;95,75487533;96,86734567;0;0;0;0;0;0;0;0;0;0
0,064;0;0,0041841;0,03456696;0,034544316;-0,402750491;67,9464095;68,76159903;0,122074038;0,124044386;0,134281442;0,110536294;95,76708274;96,86743994;0;0;0;0;0;0;0;0;0;0
0,065;0;0,004649;0,034535483;0,034512997;-0,412573674;67,9464095;68,76158596;0,122074038;0,124042795;0,134281442;0,110614872;95,76708274;96,86757222;0;0;0;0;0;0;0;0;0;0
0,066;0;0,00488145;0,034535483;0,034512997;-0,383104126;67,9464095;68,76157293;0,122074038;0,124041208;0,134281442;0,110693207;95,73046052;96,86770408;0;0;0;0;0;0;0;0;0;0
0,067;0;0,00488145;0,034535483;0,034512997;-0,402750491;67,9464095;68,76155994;0,122074038;0,124039627;0,134281442;0,110771299;95,74266793;96,86772066;0;0;0;0;0;0;0;0;0;0
