Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\-Pa_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34232E+17;onsdag 13. mai 2026;15:40:20.201;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34232E+17;onsdag 13. mai 2026;15:41:12.537;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
0,021;-0,647721935;0,137044619;0,131412465;0;68,9352092;69,84037056;0,122074038;0,143979445;0,122074038;0,106949327;123,8685263;125,2369862;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-7,06E-59;7,85E-57;0;0;7,06E-59;-0,00938095
0,022;-0,525364021;0,137044619;0,131412465;0;68,98403882;69,84011516;0,122074038;0,143916055;0,109866634;0,107000731;123,831904;125,2373271;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-6,36E-59;7,06E-57;0;0;6,36E-59;-0,00938095
0,023;-0,402066698;0,137044619;0,131412465;0;69,00845363;69,84001373;0,122074038;0,143852861;0,109866634;0,10701368;123,8196966;125,237552;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-5,72E-59;6,36E-57;0;0;5,72E-59;-0,00938095
0,024;-0,278769375;0,137044619;0,131412465;0;69,02066103;69,83998921;0,122074038;0,143789864;0,122074038;0,107026589;123,8685263;125,237738;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-5,15E-59;5,72E-57;0;0;5,15E-59;-0,00938095
0,025;-0,278769375;0,137044619;0,131412465;0;69,03286843;69,84000306;0,122074038;0,143727061;0,122074038;0,107077753;123,8563189;125,2380766;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-4,63E-59;5,15E-57;0;0;4,63E-59;-0,00938095
0,026;-0,155237201;0,137044619;0,131412465;0;69,03286843;69,84005516;0,122074038;0,143664454;0,122074038;0,107128758;123,8563189;125,2383758;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-4,17E-59;4,63E-57;0;0;4,17E-59;-0,00938095
0,027;-0,03217473;0,13701006;0,131381146;0;69,05728324;69,84010709;0,122074038;0,14360204;0,122074038;0,107179605;123,8074892;125,2386741;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-3,75E-59;4,17E-57;0;0;3,75E-59;-0,00938095
0,028;0;0,13701006;0,131381146;0;69,06949065;69,84023546;0,122074038;0,14353982;0,122074038;0,107230295;123,831904;125,2388183;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-3,38E-59;3,75E-57;0;0;3,38E-59;-0,00938095
0,029;0;0,13701006;0,131381146;0;69,05728324;69,84040172;0,122074038;0,143477793;0,109866634;0,107280827;123,8685263;125,2390387;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-3,04E-59;3,38E-57;0;0;3,04E-59;-0,00938095
0,03;0;0,13701006;0,131381146;0;69,05728324;69,84052917;0,122074038;0,143415958;0,109866634;0,107292908;123,831904;125,2393732;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,74E-59;3,04E-57;0;0;2,74E-59;-0,00938095
