Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\pB_100bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34231E+17;onsdag 13. mai 2026;11:45:40.001;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34231E+17;onsdag 13. mai 2026;11:46:48.430;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
;;;;;;;;;;;;;;;;;;;;;;;;
0,001;-1;0,017119383;0,017068588;-0,333988212;71,09591968;71,88810084;0,122074038;0,132937688;0,109866634;0,112100059;100,5157628;101,6617179;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-1,20E-37;1,34E-35;0;0;1,20E-37;0,012683324
0,002;-1;0,017119383;0,017068588;-0,353634578;71,09591968;71,88827563;0,122074038;0,132908527;0,109866634;0,1120972;100,5157628;101,6618845;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-1,08E-37;1,20E-35;0;0;1,08E-37;0,012683324
0,003;-1;0,017088281;0,017037269;-0,333988212;71,10812708;71,88844988;0,109866634;0,132879457;0,109866634;0,112094351;100,4547258;101,6620506;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-9,75E-38;1,08E-35;0;0;9,75E-38;0,012683324
0,004;-1;0,017088281;0,017037269;-0,36345776;71,09591968;71,88866188;0,109866634;0,132812182;0,109866634;0,11209151;100,4058962;101,6620247;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-8,77E-38;9,75E-36;0;0;8,77E-38;0,012683324
0,005;-1;0,017088281;0,017037269;-0,324165029;71,08371227;71,88883493;0,122074038;0,132745116;0,109866634;0,112088678;100,4547258;101,6618457;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-7,89E-38;8,77E-36;0;0;7,89E-38;0,012683324
0,006;-1;0,017088281;0,017037269;-0,333988212;71,05929746;71,88896914;0,122074038;0,132716553;0,109866634;0,112085855;100,4791406;101,6618205;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-7,11E-38;7,89E-36;0;0;7,11E-38;0,012683324
0,007;-1;0,017088281;0,017037269;-0,343811395;71,05929746;71,88902635;0,122074038;0,132688078;0,109866634;0,11208304;100,4791406;101,6618719;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-6,39E-38;7,11E-36;0;0;6,39E-38;0,012683324
0,008;-1;0,017088281;0,017037269;-0,324165029;71,05929746;71,88908339;0,122074038;0,132659691;0,109866634;0,112080234;100,3814814;101,6619232;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-5,76E-38;6,39E-36;0;0;5,76E-38;0,012683324
0,009;-1;0,017088281;0,017037269;-0,353634578;71,05929746;71,88914025;0,122074038;0,132631392;0,09765923;0,112077437;100,3814814;101,6616679;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-5,18E-38;5,76E-36;0;0;5,18E-38;0,012683324
0,01;-1;0,017088281;0,017037269;-0,333988212;71,05929746;71,88919693;0,122074038;0,132603181;0,09765923;0,112036354;100,4181036;101,6614134;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-4,66E-38;5,18E-36;0;0;4,66E-38;0,012683324
0,011;-1;0,017088281;0,017037269;-0,36345776;71,05929746;71,88925343;0,122074038;0,132575057;0,09765923;0,111995398;100,3936888;101,6612746;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-4,20E-38;4,66E-36;0;0;4,20E-38;0,012683324
0,012;-1;0,017088281;0,017037269;-0,343811395;71,05929746;71,88930976;0,122074038;0,132547021;0,09765923;0,11195457;100,3936888;101,6610597;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-3,78E-38;4,20E-36;0;0;3,78E-38;0,012683324
0,013;-1;0,017088281;0,017037269;-0,353634578;71,05929746;71,88936592;0,122074038;0,132519072;0,09765923;0,111913868;100,3448592;101,6608454;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-3,40E-38;3,78E-36;0;0;3,40E-38;0,012683324
0,014;-1;0,017088281;0,017037269;-0,343811395;71,08371227;71,8894219;0,109866634;0,132491209;0,073244423;0,111873292;100,3814814;101,6604786;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-3,06E-38;3,40E-36;0;0;3,06E-38;0,012683324
0,015;-1;0,017119383;0,017068588;-0,353634578;71,08371227;71,8895543;0,109866634;0,132425138;0,09765923;0,111756252;100,4058962;101,6602278;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-2,75E-38;3,06E-36;0;0;2,75E-38;0,012683324
0,016;-1;0,017119383;0,017068588;-0,36345776;71,08371227;71,88968629;0,109866634;0,132359271;0,09765923;0,111716165;100,369274;101,6600544;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-2,48E-38;2,75E-36;0;0;2,48E-38;0,012683324
0,017;-1;0,017119383;0,017068588;-0,353634578;71,08371227;71,88981786;0,109866634;0,132293609;0,09765923;0,111676202;100,369274;101,6597667;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-2,23E-38;2,48E-36;0;0;2,23E-38;0,012683324
0,018;-0,897134805;0,017119383;0,017068588;-0,373280943;71,04709006;71,88994903;0,122074038;0,132228151;0,09765923;0,111636362;100,369274;101,6594798;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-2,01E-38;2,23E-36;0;0;2,01E-38;0,012683324
0,019;-0,774776891;0,017119383;0,017068588;-0,324165029;71,04709006;71,88996491;0,122074038;0,13220119;0,09765923;0,111596647;100,4181036;101,6591938;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-1,81E-38;2,01E-36;0;0;1,81E-38;0,012683324
0,02;-0,652418976;0,017119383;0,017068588;-0,343811395;71,03488266;71,88998074;0,122074038;0,132174312;0,09765923;0,111557054;100,4058962;101,6590619;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-1,63E-38;1,81E-36;0;0;1,63E-38;0,012683324
0,021;-0,652418976;0,017119383;0,017068588;-0,333988212;71,01046785;71,88995823;0,134281442;0,132147518;0,09765923;0,111517584;100,3326518;101,6588921;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-1,46E-38;1,63E-36;0;0;1,46E-38;0,012683324
0,022;-0,529591357;0,017088281;0,017037269;-0,353634578;71,01046785;71,8898592;0,134281442;0,132159102;0,09765923;0,111478237;100,3326518;101,6584931;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-1,32E-38;1,46E-36;0;0;1,32E-38;0,012683324
0,023;-0,406528887;0,017119383;0,017068588;-0,343811395;71,01046785;71,88976047;0,134281442;0,132170649;0,09765923;0,111439011;100,3814814;101,6580953;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-1,18E-38;1,32E-36;0;0;1,18E-38;0,012683324
0,024;-0,282996712;0,017119383;0,017068588;-0,343811395;70,99826044;71,88966205;0,134281442;0,132182161;0,09765923;0,111399907;100,4181036;101,6578519;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-1,07E-38;1,18E-36;0;0;1,07E-38;0,012683324
0,025;-0,159699389;0,017119383;0,017068588;-0,304518664;70,99826044;71,88952564;0,134281442;0,132193637;0,09765923;0,111360925;100,3814814;101,6577241;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-9,60E-39;1,07E-36;0;0;9,60E-39;0,012683324
0,026;-0,159699389;0,017119383;0,017068588;-0,304518664;71,01046785;71,88938966;0,122074038;0,132205078;0,109866634;0,111322063;100,3814814;101,6574819;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-8,64E-39;9,60E-37;0;0;8,64E-39;0,012683324
0,027;-0,036871771;0,017119383;0,017068588;-0,324165029;71,01046785;71,88929239;0,122074038;0,132178188;0,109866634;0,111321616;100,3814814;101,6572404;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-7,77E-39;8,64E-37;0;0;7,77E-39;0,012683324
0,028;0;0,017088281;0,017037269;-0,294695481;71,01046785;71,88919542;0,134281442;0,132151382;0,09765923;0,111321171;100,4669332;101,6569997;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-7,00E-39;7,77E-37;0;0;7,00E-39;0,012683324
0,029;0;0,017119383;0,017068588;-0,294695481;71,01046785;71,88909875;0,122074038;0,132162954;0,09765923;0,111282432;100,4547258;101,6570278;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-6,30E-39;7,00E-37;0;0;6,30E-39;0,012683324
0,03;0;0,017088281;0,017037269;-0,284872299;70,99826044;71,88900238;0,122074038;0,132136195;0,09765923;0,111243813;100,3936888;101,6570174;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-5,67E-39;6,30E-37;0;0;5,67E-39;0,012683324
0,031;0;0,017088281;0,017037269;-0,333988212;70,99826044;71,88886802;0,122074038;0,132109519;0,09765923;0,111205315;100,4181036;101,6568157;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-5,10E-39;5,67E-37;0;0;5,10E-39;0,012683324
0,032;0;0,017088281;0,017037269;-0,275049116;70,99826044;71,88873407;0,122074038;0,132082926;0,09765923;0,111166935;100,4181036;101,6566912;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-4,59E-39;5,10E-37;0;0;4,59E-39;0,012683324
0,033;0,0037192;0,017088281;0,017037269;-0,333988212;70,96163823;71,88860054;0,122074038;0,132056415;0,109866634;0,111128675;100,4547258;101,656567;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-4,13E-39;4,59E-37;0;0;4,13E-39;0,012683324
0,034;0,0041841;0,01705718;0,017005951;-0,304518664;70,94943083;71,88835253;0,122074038;0,132029986;0,109866634;0,111128827;100,4547258;101,6565581;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-3,72E-39;4,13E-37;0;0;3,72E-39;0,012683324
0,035;0,004649;0,01705718;0,017005951;-0,333988212;70,93722343;71,88806701;0,122074038;0,13200364;0,09765923;0,11112898;100,430311;101,6565493;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-3,35E-39;3,72E-37;0;0;3,35E-39;0,012683324
0,036;0,004649;0,01705718;0,017005951;-0,304518664;70,93722343;71,88774407;0,122074038;0,131977375;0,109866634;0,111090837;100,491348;101,6564638;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-3,01E-39;3,35E-37;0;0;3,01E-39;0,012683324
0,037;0,005113901;0,01705718;0,017005951;-0,333988212;70,93722343;71,88742213;0,122074038;0,131951191;0,109866634;0,111091107;100,491348;101,6565702;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-2,71E-39;3,01E-37;0;0;2,71E-39;0,012683324
0,038;0,005113901;0,01705718;0,017005951;-0,333988212;70,96163823;71,88710119;0,122074038;0,131925089;0,109866634;0,111091376;100,491348;101,6566762;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-2,44E-39;2,71E-37;0;0;2,44E-39;0,012683324
0,039;0,006043701;0,01705718;0,017005951;-0,304518664;70,94943083;71,88685784;0,122074038;0,131899067;0,109866634;0,111091644;100,4669332;101,6567818;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-2,20E-39;2,44E-37;0;0;2,20E-39;0,012683324
0,04;0,006741051;0,01705718;0,017005951;-0,353634578;70,96163823;71,88657694;0,122074038;0,131873126;0,109866634;0,111091912;100,4791406;101,6568106;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-1,98E-39;2,20E-37;0;0;1,98E-39;0,012683324
0,041;0,006741051;0,01705718;0,017005951;-0,304518664;70,96163823;71,88633521;0,122074038;0,131847266;0,109866634;0,111092179;100,5279702;101,6568775;0,949960395;0,516180522;-0,000905952;0,300850165;-0,064491319;0;-1,78E-39;1,98E-37;0;0;1,78E-39;0,012683324
