Name;YT Scope Project;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\spool_mapping_run1.csv;
1813;-0,24;1813;-0,48902894491129784
1814;-0,24020000000000002;1814;-0,48996265172735759
1815;-0,2404;1815;-0,49019607843137253
1816;-0,2406;1816;-0,49112978524743228
1817;-0,2408;1817;-0,49112978524743228
1818;-0,24100000000000002;1818;-0,49159663865546216
1819;-0,2412;1819;-0,49206349206349204
1820;-0,2414;1820;-0,49253034547152197
1821;-0,24159999999999998;1821;-0,49276377217553691
1822;-0,24180000000000001;1822;-0,49276377217553691
1823;-0,242;1823;-0,49253034547152197
1824;-0,24220000000000003;1824;-0,49299719887955185
1825;-0,2424;1825;-0,49276377217553691
1826;-0,2426;1826;-0,49276377217553691
1827;-0,2428;1827;-0,49276377217553691
1828;-0,24300000000000002;1828;-0,49299719887955185
1829;-0,2432;1829;-0,49346405228758172
1830;-0,2434;1830;-0,49463118580765641
1831;-0,24359999999999998;1831;-0,49579831932773111
1832;-0,24380000000000002;1832;-0,49579831932773111
1833;-0,244;1833;-0,496265172735761
1834;-0,24420000000000003;1834;-0,49673202614379086
1835;-0,2444;1835;-0,49719887955182074
1836;-0,2446;1836;-0,49836601307189543
1837;-0,2448;1837;-0,49836601307189543
1838;-0,24500000000000002;1838;-0,49953314659197012
1839;-0,2452;1839;-0,50046685340802988
1840;-0,2454;1840;-0,50140056022408963
1841;-0,24559999999999998;1841;-0,50186741363211951
1842;-0,24580000000000002;1842;-0,50186741363211951
1843;-0,246;1843;-0,50233426704014938
1844;-0,24620000000000003;1844;-0,50280112044817926
1845;-0,2464;1845;-0,50280112044817926
1846;-0,2466;1846;-0,50280112044817926
1847;-0,2468;1847;-0,50280112044817926
1848;-0,24700000000000003;1848;-0,50280112044817926
1849;-0,2472;1849;-0,5030345471521942
1850;-0,2474;1850;-0,5030345471521942
1851;-0,2476;1851;-0,5030345471521942
1852;-0,24780000000000002;1852;-0,5030345471521942
1853;-0,248;1853;-0,50326797385620914
1854;-0,24820000000000003;1854;-0,503968253968254
1855;-0,2484;1855;-0,50513538748832865
1856;-0,24860000000000002;1856;-0,50583566760037346
1857;-0,2488;1857;-0,50583566760037346
1858;-0,24900000000000003;1858;-0,50653594771241828
1859;-0,2492;1859;-0,50700280112044815
1860;-0,2494;1860;-0,507469654528478
1861;-0,2496;1861;-0,50887021475256766
1862;-0,24980000000000002;1862;-0,50887021475256766
1863;-0,25;1863;-0,51003734827264235
