Name;YT Scope Project;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown120Bar060326\Down120Bar75Signal060326.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34173E+17;fredag 6. mars 2026;08:43:37.774;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34173E+17;fredag 6. mars 2026;08:43:45.623;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;;;;;;;;;;;
32,946;0;-1;0,453723617;0,442718447;0;60,17029328;60,85864299;0,134281442;0,143161762;0,122074038;0,114180606;119,5471053;121,064927;;;;;;;;;;;
32,947;0;-1;0,453723617;0,442718447;0;60,15808588;60,85873541;0,134281442;0,143139201;0,122074038;0,114209592;119,5959349;121,064645;;;;;;;;;;;
32,948;0;-1;0,453723617;0,442718447;0;60,17029328;60,85878924;0,134281442;0,143116711;0,122074038;0,114238489;119,5837275;121,064517;;;;;;;;;;;
32,949;0;-1;0,453723617;0,442718447;0;60,17029328;60,85888121;0,134281442;0,14309429;0,122074038;0,114267296;119,5837275;121,0643512;;;;;;;;;;;
32,95;0;-1;0,453723617;0,442718447;0;60,18250069;60,85897289;0,134281442;0,143071938;0,122074038;0,114296014;119,5348979;121,0641858;;;;;;;;;;;
32,951;0;-1;0,453723617;0,442718447;0;60,14587848;60,85910257;0,122074038;0,143049656;0,122074038;0,114324642;119,5471053;121,0638678;;;;;;;;;;;
32,952;0;-1;0,453723617;0,442718447;0;60,14587848;60,85911698;0,122074038;0,142989149;0,109866634;0,114353182;119,5959349;121,0635891;;;;;;;;;;;
32,953;0;-1;0,453723617;0,442718447;0;60,14587848;60,85913134;0,122074038;0,142928828;0,122074038;0,114343339;119,5593127;121,0634644;;;;;;;;;;;
32,954;0;-1;0,453723617;0,442718447;0;60,14587848;60,85914565;0,122074038;0,142868695;0,122074038;0,114371821;119,5593127;121,0632252;;;;;;;;;;;
32,955;0;-1;0,453723617;0,442718447;0;60,14587848;60,85915992;0,134281442;0,142808749;0,122074038;0,114400214;119,5471053;121,0629868;;;;;;;;;;;
32,956;0;-1;0,453723617;0,442718447;0;60,13367107;60,85917414;0,134281442;0,142787282;0,109866634;0,11442852;119,6203497;121,0627108;;;;;;;;;;;
32,957;0;-1;0,453723617;0,442718447;0;60,13367107;60,85915003;0,146488845;0,142765883;0,109866634;0,114418443;119,5959349;121,0626654;;;;;;;;;;;
32,958;0;-1;0,453723617;0,442718447;0;60,10925626;60,85912599;0,146488845;0,142782844;0,109866634;0,114408398;119,5471053;121,0625436;;;;;;;;;;;
32,959;0;-1;0,453723617;0,442718447;0;60,10925626;60,85902544;0,146488845;0,142799753;0,109866634;0,114398383;119,5471053;121,062269;;;;;;;;;;;
32,96;0;-1;0,453723617;0,442718447;0;60,10925626;60,8589252;0,146488845;0,142816609;0,109866634;0,1143884;119,5593127;121,0619953;;;;;;;;;;;
32,961;0;-1;0,453723617;0,442718447;0;60,10925626;60,85882526;0,134281442;0,142833413;0,109866634;0,114378447;119,6203497;121,0617606;;;;;;;;;;;
32,962;0;-1;0,453723617;0,442718447;0;60,08484146;60,85872564;0,146488845;0,14281187;0,109866634;0,114368526;119,5959349;121,0617182;;;;;;;;;;;
32,963;0;-1;0,453723617;0,442718447;0;60,06042665;60,85854974;0,146488845;0,142828689;0,109866634;0,114358635;119,5837275;121,0615993;;;;;;;;;;;
32,964;0;-1;0,453723617;0,442718447;0;60,06042665;60,8582978;0,146488845;0,142845456;0,109866634;0,114348775;119,5837275;121,0614425;;;;;;;;;;;
32,965;0;-1;0,453723617;0,442718447;0;60,06042665;60,85804663;0,146488845;0,14286217;0,109866634;0,114338945;119,6447645;121,0612862;;;;;;;;;;;
32,966;0;-1;0,453723617;0,442718447;0;60,07263405;60,85779624;0,146488845;0,142878833;0,109866634;0,114329146;119,6691794;121,0613218;;;;;;;;;;;
32,967;0;-1;0,453723617;0,442718447;0;60,06042665;60,85758493;0,146488845;0,142895444;0,109866634;0,114319378;119,6203497;121,061434;;;;;;;;;;;
32,968;0;-1;0,453723617;0,442718447;0;60,03601184;60,85733597;0,146488845;0,142912004;0,109866634;0,114309639;119,6203497;121,0613926;;;;;;;;;;;
32,969;0;-1;0,453723617;0,442718447;0;60,03601184;60,8570112;0,146488845;0,142928512;0,109866634;0,114299931;119,6203497;121,0613513;;;;;;;;;;;
32,97;0;-1;0,453723617;0,442718447;0;60,06042665;60,85668744;0,146488845;0,142944969;0,122074038;0,114290253;119,656972;121,0613101;;;;;;;;;;;
32,971;0;-1;0,453723617;0,442718447;0;60,08484146;60,85644126;0,146488845;0,142961375;0,122074038;0,114318899;119,6447645;121,061384;;;;;;;;;;;
32,972;0;-1;0,453723617;0,442718447;0;60,08484146;60,85627244;0,146488845;0,14297773;0,122074038;0,114347457;119,5837275;121,0614193;;;;;;;;;;;
32,973;0;-1;0,453723617;0,442718447;0;60,08484146;60,85610415;0,146488845;0,142994035;0,122074038;0,114375926;119,6325571;121,0612631;;;;;;;;;;;
32,974;0;-1;0,453723617;0,442718447;0;60,08484146;60,85593637;0,146488845;0,143010289;0,122074038;0,114404307;119,6325571;121,0612605;;;;;;;;;;;
32,975;0;-1;0,453723617;0,442718447;0;60,08484146;60,85576912;0,146488845;0,143026493;0,122074038;0,1144326;119,6447645;121,0612579;;;;;;;;;;;
32,976;0;-1;0,453723617;0,442718447;0;60,08484146;60,85560238;0,146488845;0,143042646;0,122074038;0,114460805;119,5837275;121,0612936;;;;;;;;;;;
32,977;0;-1;0,453723617;0,442718447;0;60,06042665;60,85543616;0,146488845;0,143058749;0,122074038;0,114488923;119,5715201;121,0611378;;;;;;;;;;;
32,978;0;-1;0,453723617;0,442718447;0;60,07263405;60,85519387;0,134281442;0,143074803;0,109866634;0,114516953;119,6325571;121,0609441;;;;;;;;;;;
32,979;0;-1;0,453723617;0,442718447;0;60,07263405;60,85499062;0,134281442;0,143052512;0,109866634;0,114506602;119,6325571;121,0609425;;;;;;;;;;;
32,98;0;-1;0,453723617;0,442718447;0;60,07263405;60,854788;0,134281442;0,14303029;0,109866634;0,114496284;119,6203497;121,0609409;;;;;;;;;;;
32,981;0;-1;0,453723617;0,442718447;0;60,07263405;60,85458601;0,146488845;0,143008137;0,09765923;0,114485997;119,5715201;121,0609011;;;;;;;;;;;
32,982;0;-1;0,453723617;0,442718447;0;60,10925626;60,85438465;0,134281442;0,143024347;0,09765923;0,114437447;119,5959349;121,0607081;;;;;;;;;;;
32,983;0;-1;0,453723617;0,442718447;0;60,08484146;60,85429879;0,134281442;0,143002212;0,09765923;0,114389048;119,6447645;121,0605924;;;;;;;;;;;
32,984;0;-1;0,453723617;0,442718447;0;60,08484146;60,85413661;0,134281442;0,142980146;0,09765923;0,114340799;119,6447645;121,0606302;;;;;;;;;;;
32,985;0;-1;0,453723617;0,442718447;0;60,10925626;60,85397494;0,134281442;0,142958149;0,09765923;0,1142927;119,5959349;121,0606678;;;;;;;;;;;
32,986;0;-1;0,453723617;0,442718447;0;60,12146367;60,85389035;0,134281442;0,14293622;0,09765923;0,114244749;119,5593127;121,0605522;;;;;;;;;;;
32,987;0;-1;0,453723617;0,442718447;0;60,13367107;60,85384432;0,134281442;0,142914358;0,09765923;0,114196947;119,5959349;121,0603221;;;;;;;;;;;
32,988;0;-1;0,453723617;0,442718447;0;60,13367107;60,85383673;0,134281442;0,142892564;0,09765923;0,114149294;119,5837275;121,0602075;;;;;;;;;;;
32,989;0;-1;0,453723617;0,442718447;0;60,13367107;60,85382916;0,134281442;0,142870838;0,09765923;0,114101788;119,5837275;121,060055;;;;;;;;;;;
32,99;0;-1;0,453723617;0,442718447;0;60,12146367;60,85382162;0,134281442;0,14284918;0,09765923;0,11405443;119,5593127;121,059903;;;;;;;;;;;
32,991;0;-1;0,453723617;0,442718447;0;60,10925626;60,8537758;0,134281442;0,142827588;0,09765923;0,114007218;119,5837275;121,0596749;;;;;;;;;;;
32,992;0;-1;0,453723617;0,442718447;0;60,12146367;60,85369184;0,146488845;0,142806063;0,09765923;0,113960153;119,656972;121,059524;;;;;;;;;;;
0,001;0,75;-1;0,453723617;0,442718447;0;60,12146367;60,85364642;0,146488845;0,1428229;0,073244423;0,113913233;119,6203497;121,0596034;;;;;;;;;;;
0,002;0,75;-1;0,453723617;0,442718447;0;60,12146367;60,85360115;0,146488845;0,142839685;0,073244423;0,11378987;119,6203497;121,0595677;;;;;;;;;;;
0,003;0,75;-1;0,453723617;0,442718447;0;60,13367107;60,85355602;0,146488845;0,142856417;0,073244423;0,113666889;119,6203497;121,0595321;;;;;;;;;;;
0,004;0,75;-1;0,453723617;0,442718447;0;60,13367107;60,85354932;0,146488845;0,142873098;0,073244423;0,113544289;119,656972;121,0594966;;;;;;;;;;;
0,005;0,75;-1;0,453723617;0,442718447;0;60,14587848;60,85354264;0,134281442;0,142889727;0,073244423;0,11342207;119,6813868;121,059576;;;;;;;;;;;
0,006;0,75;-1;0,453723617;0,442718447;0;60,13367107;60,85357428;0,134281442;0,142868009;0,09765923;0,113300229;119,6447645;121,0597319;;;;;;;;;;;
0,007;0,75;-1;0,45375097;0,442749765;0;60,13367107;60,85356753;0,134281442;0,14284636;0,09765923;0,113255355;119,6447645;121,0597723;;;;;;;;;;;
0,008;0,75;-1;0,45375097;0,442749765;0;60,13367107;60,8535608;0,134281442;0,142824777;0,09765923;0,113210621;119,6447645;121,0598127;;;;;;;;;;;
0,009;0,75;-1;0,45375097;0,442749765;0;60,12146367;60,85355408;0,134281442;0,142803261;0,109866634;0,113166025;119,7058016;121,0598529;;;;;;;;;;;
0,01;0,75;-1;0,45375097;0,442749765;0;60,10925626;60,8535091;0,134281442;0,142781812;0,109866634;0,113159862;119,6691794;121,0600844;;;;;;;;;;;
0,011;0,75;-1;0,45375097;0,442749765;0;60,14587848;60,85342596;0,134281442;0,142760429;0,109866634;0,113153718;119,6325571;121,0602004;;;;;;;;;;;
0,012;0,75;-1;0,45375097;0,442749765;0;60,14587848;60,85345796;0,134281442;0,142739112;0,109866634;0,113147593;119,6325571;121,0602011;;;;;;;;;;;
0,013;0,75;-1;0,45375097;0,442749765;0;60,13367107;60,85348986;0,122074038;0,142717862;0,109866634;0,113141487;119,6691794;121,0602018;;;;;;;;;;;
0,014;0,75;-1;0,453778321;0,442781084;0;60,10925626;60,85348336;0,122074038;0,142658383;0,109866634;0,1131354;119,718009;121,0603174;;;;;;;;;;;
