Name;YT Scope Project;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown120Bar060326\Down120Bar35Signal060326.csv;
Starttime of export;134172573549540000;fredag 6. mars 2026;08:55:54.954
Endtime of export;134172573699230000;fredag 6. mars 2026;08:56:09.923


fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered

54,434;0;-1;0,45087083609743905;0,43946132164108986;0;60,109256263924067;60,793990259274075;0,13428144169438766;0,14581055383275221;0,12207403790398877;0,10973855329305954;118,76583147679068;120,21228492515228
54,435;0;-1;0,45087083609743905;0,43946132164108986;0;60,121463667714465;60,79409162637026;0,13428144169438766;0,14577978199846597;0,10986663411358989;0,10978131003475584;118,76583147679068;120,212195255227
54,436;0;-1;0,45087083609743905;0,43946132164108986;0;60,133671071504871;60,794230973854134;0,12207403790398877;0,14574910555686604;0,10986663411358989;0,10978563960486243;118,81466109195227;120,2121058632785
54,437;0;-1;0,45087083609743905;0,43946132164108986;0;60,14587847529527;60,7944081839865;0,12207403790398877;0,14568022958654456;0,10986663411358989;0,10978995575330168;118,76583147679068;120,21216992694779
54,438;0;-1;0,45087083609743905;0,43946132164108986;0;60,14587847529527;60,794623139393138;0,12207403790398877;0,14561156713173107;0,10986663411358989;0,10979425852168076;118,72920926541947;120,21208061351695
54,439;0;-1;0,45087083609743905;0,43946132164108986;0;60,14587847529527;60,794837428438015;0,12207403790398877;0,14554311753052751;0,10986663411358989;0,10979854795147788;118,72920926541947;120,21187669308064
54,44;0;-1;0,45087083609743905;0,43946132164108986;0;60,14587847529527;60,795051053186853;0,12207403790398877;0,14547488012308768;0,10986663411358989;0,10980282408404261;118,77803888058108;120,21167340479772
54,441;0;-1;0,45087083609743905;0,43946132164108986;0;60,121463667714465;60,795264015698969;0,12207403790398877;0,1454068542516109;0,10986663411358989;0,10980708696059641;118,82686849574267;120,21162392521124
54,442;0;-1;0,45087083609743905;0,43946132164108986;0;60,121463667714465;60,795399728775919;0,12207403790398877;0,1453390392603357;0,10986663411358989;0,10981133662223287;118,75362407300028;120,21172777751423
54,443;0;-1;0,45087083609743905;0,43946132164108986;0;60,133671071504871;60,795535021142335;0,12207403790398877;0,14527143449553345;0,10986663411358989;0,10981557310991827;118,76583147679068;120,21160154012091
