Time;<fPistonPosition_G_OPCfPistonPosition>;<fSpoolPosition_G_OPCfSpoolPosition>
31,38;0,015153914953692;0
31,381;0,015153914953692;0
31,382;0,015153914953692;0
31,383;0,015153914953692;0
31,384;0,0152169762160309;0
31,385;0,0152485084122124;0,00652680652680653
31,386;0,0152485084122124;0,00466200466200466
31,387;0,0152485084122124;0,00442890442890443
31,388;0,0152485084122124;0
31,389;0,0152169762160309;0
31,39;0,0152485084122124;0
31,391;0,0152485084122124;-0,00373482726423903
31,392;0,0152485084122124;-0,0151727357609711
31,393;0,0152485084122124;-0,0340802987861811
31,394;0,0152169762160309;-0,0651260504201681
31,395;0,015153914953692;-0,0980392156862745
31,396;0,0151223858879508;-0,131185807656396
31,397;0,015153914953692;-0,169701213818861
31,398;0,015153914953692;-0,192577030812325
31,399;0,0152485084122124;-0,207516339869281
31,4;0,0152800416514579;-0,219421101774043
31,401;0,0152800416514579;-0,225023342670401
31,402;0,0152485084122124;-0,230859010270775
31,403;0,0152169762160309;-0,23202614379085
31,404;0,0152169762160309;-0,230859010270775
31,405;0,0152169762160309;-0,234827264239029
31,406;0,0152169762160309;-0,238328664799253
31,407;0,0152485084122124;-0,238562091503268
31,408;0,0152485084122124;-0,236694677871148
31,409;0,0152800416514579;-0,239028944911298
31,41;0,0152800416514579;-0,239495798319328
31,411;0,0152800416514579;-0,243930905695612
31,412;0,0152800416514579;-0,242296918767507
31,413;0,0152800416514579;-0,241830065359477
31,414;0,0152485084122124;-0,243930905695612
31,415;0,0152485084122124;-0,24906629318394
31,416;0,0152800416514579;-0,249299719887955
31,417;0,0152485084122124;-0,24813258636788
31,418;0,0152485084122124;-0,251167133520075
31,419;0,0152169762160309;-0,254435107376284
31,42;0,0152169762160309;-0,255602240896359
31,421;0,0152485084122124;-0,254668534080299
31,422;0,0152800416514579;-0,256069094304388
31,423;0,0152800416514579;-0,257236227824463
31,424;0,0152485084122124;-0,260971055088702
31,425;0,015153914953692;-0,261204481792717
31,426;0,015153914953692;-0,258169934640523
31,427;0,015153914953692;-0,260971055088702
31,428;0,0152485084122124;-0,260037348272642
31,429;0,0152800416514579;-0,263071895424837
31,43;0,0152800416514579;-0,262371615312792
31,431;0,0153115759335591;-0,259570494864613
31,432;0,0153115759335591;-0,262371615312792
31,433;0,0152800416514579;-0,262605042016807
31,434;0,0153115759335591;-0,266806722689076
31,435;0,015343111258308;-0,266339869281046
31,436;0,0153115759335591;-0,264472455648926
31,437;0,0152800416514579;-0,267740429505135
31,438;0,0153115759335591;-0,271942110177404
31,439;0,0152800416514579;-0,271942110177404
31,44;0,0152800416514579;-0,270074696545285
31,441;0,0152485084122124;-0,273109243697479
31,442;0,0152485084122124;-0,275443510737628
31,443;0,0152800416514579;-0,278011204481793
31,444;0,015343111258308;-0,280578898225957
31,445;0,015343111258308;-0,284547152194211
31,446;0,0153746476254965;-0,283846872082166
31,447;0,0154377234863599;-0,286414565826331
31,448;0,0155008035144842;-0,28921568627451
31,449;0,0155954313666434;-0,294117647058824
31,45;0,0156585218056366;-0,292250233426704
31,451;0,0156585218056366;-0,295518207282913
31,452;0,0156585218056366;-0,298319327731092
31,453;0,0157216164060638;-0,302287581699346
31,454;0,0157216164060638;-0,302287581699346
31,455;0,0157847151662603;-0,302754435107376
31,456;0,0158478180845611;-0,304388422035481
31,457;0,0159109251593013;-0,307422969187675
31,458;0,0159740363888162;-0,307889822595705
31,459;0,0159740363888162;-0,308823529411765
31,46;0,0160371517714408;-0,311624649859944
31,461;0,0161318326288166;-0,314425770308123
31,462;0,0161633949893599;-0,319094304388422
31,463;0,0162265228213246;-0,319327731092437
31,464;0,0162896547997397;-0,318394024276377
31,465;0,0164159311892614;-0,320961718020542
31,466;0,0165106493534524;-0,323529411764706
31,467;0,0166053768303;-0,328197945845005
31,468;0,0166685336524551;-0,329598506069094
31,469;0,0167316946094065;-0,329831932773109
31,47;0,0168264437939348;-0,333333333333333
31,471;0,0169527904962211;-0,337301587301587
31,472;0,0169843797518782;-0,337301587301587
31,473;0,0170791537077253;-0,338001867413632
31,474;0,0171739369425156;-0,340802987861811
31,475;0,0172687294506302;-0,341970121381886
31,476;0,017331929605112;-0,345704948646125
31,477;0,0174267375562807;-0,345238095238095
31,478;0,0174899480009292;-0,34500466853408
31,479;0,017553162558731;-0,349206349206349
31,48;0,0176163812280211;-0,349906629318394
31,481;0,0177428308944068;-0,354108309990663
31,482;0,0178376789244706;-0,354108309990663
31,483;0,0179009160748556;-0,352007469654529
31,484;0,0179957794917846;-0,355742296918768
31,485;0,0180906521333409;-0,357843137254902
31,486;0,0181855339939055;-0,361111111111111
31,487;0,0183120574722931;-0,359477124183007
31,488;0,0184702348334608;-0,361344537815126
31,489;0,0187866661675562;-0,367413632119514
31,49;0,0189132672660137;-0,36484593837535
31,491;0,0189765739296158;-0,367647058823529
31,492;0,0191031994772423;-0,369047619047619
31,493;0,0192298413076661;-0,372782446311858
31,494;0,0193564994075685;-0,373482726423903
31,495;0,0194515036513284;-0,374416433239963
31,496;0,0196098643625334;-0,377684407096172
