Name;YT Scope Project;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\Down100Bar50Signal030326.csv;
Starttime of export;134170111922850000;tirsdag 3. mars 2026;12:33:12.285
Endtime of export;134170112114999999;tirsdag 3. mars 2026;12:33:31.499


Name;fSpoolPosition;fU;fFlow;fFlowRef;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPistonPosition;fPistonPosMeasured;fPs;fPsFiltered;fUpfb

0;-1;0;-150;0;59,633167516098517;60,305592881098477;0,13428144169438766;0,13377465965713489;0,097659230323191015;0,10997599589696438;0,46119500161431787;0,45123708111493893;100,12512588885158;101,3742669093008;0
1;-1;0;-150;0;59,596545304727314;60,305714789665075;0,13428144169438766;0,13378119909479308;0,10986663411358989;0,10994142731520765;0,46119500161431787;0,45123708111493893;100,14954069643238;101,37409920179529;0
2;-1;0;-150;0;59,633167516098517;60,305721436438041;0,13428144169438766;0,1337877182601945;0,10986663411358989;0,10994526052174482;0,46119500161431787;0,45123708111493893;100,21057771538437;101,37400860343443;0
3;-1;0;-150;0;59,633167516098517;60,305842946483082;0,13428144169438766;0,1337942172161832;0,10986663411358989;0,10994908184534172;0,46119500161431787;0,45123708111493893;100,13733329264198;101,37410975905695;0
4;-1;0;-150;0;59,633167516098517;60,305964079846987;0,13428144169438766;0,13380069602540834;0,10986663411358989;0,10995289132283546;0,46119500161431787;0,45123708111493893;100,11291848506119;101,3739808333429;0
5;-1;0;-150;0;59,633167516098517;60,306084837697462;0,13428144169438766;0,1338071547503249;0,10986663411358989;0,109956688990949;0,46119500161431787;0,45123708111493893;100,11291848506119;101,37377571804717;0
6;-1;0;-150;0;59,645374919888916;60,306205221198596;0,13428144169438766;0,13381359345319421;0,10986663411358989;0,10996047488629136;0,46119500161431787;0,45123708111493893;100,13733329264198;101,37357123860887;0
7;-1;0;-150;0;59,657582323679314;60,306363526136565;0,13428144169438766;0,13382001219608461;0,10986663411358989;0,10996424904535819;0,46119500161431787;0,45123708111493893;100,14954069643238;101,3734439823082;0
8;-1;0;-150;0;59,69420453505051;60,30655963495493;0,12207403790398877;0,13382641104087203;0,10986663411358989;0,10996801150453191;0,46116907541979041;0,45120576260569994;100,07629627368999;101,37335541512775;0
9;-1;0;-150;0;59,69420453505051;60,306870019713024;0,12207403790398877;0,13379449542355012;0,10986663411358989;0,10997176230008218;0,46116907541979041;0,45120576260569994;100,12512588885158;101,37303735475143;0
10;-1;0;-150;0;59,69420453505051;60,307179442278375;0,12207403790398877;0,13376267874464193;0,10986663411358989;0,10997550146816625;0,46116907541979041;0,45120576260569994;100,12512588885158;101,37287345886503;0
11;-1;0;-150;0;59,681997131260111;60,307487905633771;0,12207403790398877;0,13373096069743834;0,097659230323191015;0,10997922904482925;0,46116907541979041;0,45120576260569994;100,14954069643238;101,37271007105586;0
12;-1;0;-150;0;59,657582323679314;60,307757118127078;0,10986663411358989;0,13369934097618108;0,097659230323191015;0,10994465044031412;0,46116907541979041;0,45120576260569994;100,12512588885158;101,37262377900031;0
13;-1;0;-150;0;59,608752708517713;60,30794890681026;0,10986663411358989;0,13362952465036923;0,097659230323191015;0,10991017902947298;0,46116907541979041;0,45120576260569994;100,10071108127079;101,37246116519873;0
14;-1;0;-150;0;59,633167516098517;60,307986922445764;0,10986663411358989;0,13355992475516743;0,10986663411358989;0,10987581448000545;0,46116907541979041;0,45120576260569994;100,14954069643238;101,37222246624857;0
15;-1;0;-150;0;59,633167516098517;60,308101409484188;0,10986663411358989;0,13349054061964075;0,10986663411358989;0,10987985108633178;0,46116907541979041;0,45120576260569994;100,14954069643238;101,3721376857679;0
16;-1;0;-150;0;59,633167516098517;60,308215541612782;0,10986663411358989;0,13342137157493419;0,097659230323191015;0,10988387517917847;0,46116907541979041;0,45120576260569994;100,19837031159398;101,37205316810673;0
17;-1;0;-150;0;59,596545304727314;60,308329319931786;0,12207403790398877;0,1333524169542662;0,097659230323191015;0,10984959217164686;0,46116907541979041;0,45120576260569994;100,11291848506119;101,37212209095307;0
18;-1;0;-150;0;59,572130497146517;60,308327861660928;0,12207403790398877;0,13332197071861276;0,10986663411358989;0,10981541544143859;0,46116907541979041;0,45120576260569994;100,11291848506119;101,37192273775875;0
19;-1;0;-150;0;59,535508285775322;60,308249818659327;0,12207403790398877;0,13329161886628987;0,10986663411358989;0,10981963928478446;0,46116907541979041;0,45120576260569994;100,16174810022278;101,37172400255935;0
20;-1;0;-150;0;59,535508285775322;60,308057133713966;0,12207403790398877;0,13326136110470918;0,10986663411358989;0,10982385003421595;0,46116907541979041;0,45120576260569994;100,16174810022278;101,3716790619418;0
21;-1;0;-150;0;59,535508285775322;60,307865046091933;0,12207403790398877;0,13323119714218937;0,10986663411358989;0,10982804773032422;0,46116907541979041;0,45120576260569994;100,14954069643238;101,37163426064019;0
22;-1;0;-150;0;59,511093478194525;60,307673553941527;0,12207403790398877;0,13320112668795339;0,10986663411358989;0,10983223241357452;0,46116907541979041;0,45120576260569994;100,12512588885158;101,3715513035969;0
23;-1;0;-150;0;59,474471266823329;60,307406066165406;0,12207403790398877;0,13317114945212558;0,10986663411358989;0,10983640412430677;0,46116907541979041;0,45120576260569994;100,14954069643238;101,37139201446908;0
24;-1;0;-150;0;59,498886074404126;60,307024523724309;0,12207403790398877;0,13314126514572877;0,10986663411358989;0,10984056290273574;0,46116907541979041;0,45120576260569994;100,19837031159398;101,37130980838893;0
25;-1;0;-150;0;59,498886074404126;60,306720753316178;0,12207403790398877;0,13311147348068184;0,10986663411358989;0,10984470878895158;0,461143147375638;0,451174444096461;100,19837031159398;101,3713810356504;0
26;-1;0;-150;0;59,511093478194525;60,30641792459631;0,10986663411358989;0,13308177416979652;0,10986663411358989;0,10984884182292015;0,461143147375638;0,451174444096461;100,14954069643238;101,37145204210735;0
27;-1;0;-150;0;59,511093478194525;60,306154329271152;0,12207403790398877;0,13301387230108447;0,10986663411358989;0,10985296204448343;0,461143147375638;0,451174444096461;100,13733329264198;101,37136964994153;0
28;-1;0;-150;0;59,498886074404126;60,305891551091513;0,12207403790398877;0,1329844755538559;0,12207403790398877;0,10985706949335984;0,461143147375638;0,451174444096461;100,19837031159398;101,37124921856574;0
29;-1;0;-150;0;59,498886074404126;60,305591292898534;0,12207403790398877;0,13295516993654377;0,12207403790398877;0,10989945883483523;0,46116907541979041;0,45120576260569994;100,19837031159398;101,37132063365566;0
30;-1;0;-150;0;59,498886074404126;60,305291965505965;0,12207403790398877;0,13292595516664527;0,12207403790398877;0,10994171676935205;0,46116907541979041;0,45120576260569994;100,19837031159398;101,37139182735879;0
31;-1;0;-150;0;59,535508285775322;60,3049935660283;0,13428144169438766;0,13289683096253346;0,13428144169438766;0,10998384370427186;0,46116907541979041;0,45120576260569994;100,14954069643238;101,37146280036146;0
32;-1;0;-150;0;59,535508285775322;60,3048109754661;0,13428144169438766;0,13290609166914491;0,13428144169438766;0,11006413467138393;0,46116907541979041;0,45120576260569994;100,19837031159398;101,37138037484505;0
33;-1;0;-150;0;59,559923093356119;60,304628950934628;0,12207403790398877;0,13291532366756589;0,12207403790398877;0,11014417673649794;0,46116907541979041;0,45120576260569994;100,24719992675557;101,3714513833505;0
34;-1;0;-150;0;59,572130497146517;60,30452407993058;0,13428144169438766;0,13288623242110123;0,12207403790398877;0,1101856760455196;0,46116907541979041;0,45120576260569994;100,22278511917477;101,37167535023234;0
35;-1;0;-150;0;59,572130497146517;60,304457828652339;0,13428144169438766;0,13289552598319113;0,12207403790398877;0,1102270467066833;0,46116907541979041;0,45120576260569994;100,22278511917477;101,37182203356548;0
36;-1;0;-150;0;59,559923093356119;60,304391782753058;0,13428144169438766;0,13290479073523853;0,12207403790398877;0,11026828911879738;0,46116907541979041;0,45120576260569994;100,18616290780358;101,37196826218027;0
37;-1;0;-150;0;59,584337900936916;60,304287646970373;0,12207403790398877;0,13291402676655462;0,12207403790398877;0,11030940367943391;0,46119500161431787;0,45123708111493893;100,24719992675557;101,37199915360929;0
38;-1;0;-150;0;59,608752708517713;60,304260423260011;0,12207403790398877;0,13288493954048308;0,10986663411358989;0,11035039078493249;0,46116907541979041;0,45120576260569994;100,25940733054598;101,37222142240334;0
39;-1;0;-150;0;59,645374919888916;60,304309873194526;0,12207403790398877;0,13285594248481239;0,10986663411358989;0,11035295620471351;0,46119500161431787;0,45123708111493893;100,22278511917477;101,37248129678981;0
40;-1;0;-150;0;59,645374919888916;60,304474053711317;0,12207403790398877;0,13282703532001428;0,10986663411358989;0,11035551367169323;0,46119500161431787;0,45123708111493893;100,22278511917477;101,37262548168862;0
41;-1;0;-150;0;59,633167516098517;60,3046377252685;0,13428144169438766;0,13279821776742703;0,10986663411358989;0,1103580632105253;0,46119500161431787;0,45123708111493893;100,23499252296517;101,37276921961424;0
42;-1;0;-150;0;59,633167516098517;60,304762594818165;0,13428144169438766;0,13280778417494332;0,10986663411358989;0,110360604845787;0,46119500161431787;0,45123708111493893;100,28382213812678;101,37295080657798;0
43;-1;0;-150;0;59,633167516098517;60,304887077272227;0,13428144169438766;0,13281732092659629;0,10986663411358989;0,11036313860197938;0,46122092595901248;0,45126839962417786;100,25940733054598;101,3732850091249;0
44;-1;0;-150;0;59,596545304727314;60,305011173830678;0,13428144169438766;0,13282682811431915;0,10986663411358989;0,11036566450352757;0,46122092595901248;0,45126839962417786;100,25940733054598;101,37354158639252;0
45;-1;0;-150;0;59,596545304727314;60,305020001812736;0,13428144169438766;0,13283630582976008;0,10986663411358989;0,11036818257478097;0,46122092595901248;0,45126839962417786;100,25940733054598;101,37379736827062;0
46;-1;0;-150;0;59,596545304727314;60,305028802428055;0,13428144169438766;0,13284575416428313;0,10986663411358989;0,11037069284001347;0,46122092595901248;0,45126839962417786;100,30823694570758;101,3740523572249;0
47;-1;0;-150;0;59,596545304727314;60,30503757576146;0,12207403790398877;0,13285517320896914;0,097659230323191015;0,11037319532342377;0,46122092595901248;0,45126839962417786;100,29602954191718;101,37445973421619;0
48;-1;0;-150;0;59,596545304727314;60,305046321897528;0,12207403790398877;0,13282626842892614;0,097659230323191015;0,11033739542344498;0,46122092595901248;0,45126839962417786;100,23499252296517;101,37482755371312;0
49;-1;0;-150;0;59,584337900936916;60,305055040920585;0,13428144169438766;0,13279745325370126;0,073244422742393261;0,11030170650315615;0,46122092595901248;0,45126839962417786;100,22278511917477;101,37500275984115;0
50;-1;0;-150;0;59,584337900936916;60,305025438288979;0,13428144169438766;0,13280702203121011;0,073244422742393261;0,11018953896713925;0,46122092595901248;0,45126839962417786;100,22278511917477;101,37513912820451;0
51;-1;0;-150;0;59,584337900936916;60,304995927425523;0,12207403790398877;0,13281656114550866;0,073244422742393261;0,11007771915048399;0,46122092595901248;0,45126839962417786;100,25940733054598;101,37527507382593;0
52;-1;0;-150;0;59,596545304727314;60,304966508045744;0,12207403790398877;0,13278777606286238;0,073244422742393261;0,10996624597526036;0,46122092595901248;0,45126839962417786;100,22278511917477;101,37552548189299;0
53;-1;0;-150;0;59,608752708517713;60,304975474491727;0,13428144169438766;0,13275908021397231;0,073244422742393261;0,10985511836687994;0,46124684845366615;0,45129971813341685;100,18616290780358;101,37566022981798;0
54;-1;0;-150;0;59,633167516098517;60,305022707767435;0,12207403790398877;0,13276876794790429;0,073244422742393261;0,1097443352540855;0,46124684845366615;0,45129971813341685;100,23499252296517;101,37567967614733;0
55;-1;0;-150;0;59,633167516098517;60,305146383871353;0,12207403790398877;0,13274013102417059;0,073244422742393261;0,10963389556894072;0,46122092595901248;0,45126839962417786;100,23499252296517;101,37585224069582;0
56;-1;0;-150;0;59,645374919888916;60,30526967657935;0,12207403790398877;0,13271158287490048;0,073244422742393261;0,10952379824681988;0,46122092595901248;0,45126839962417786;100,24719992675557;101,3760242702942;0
57;-1;0;-150;0;59,633167516098517;60,305430881705639;0,13428144169438766;0,13268312322489306;0,097659230323191015;0,10941404222639761;0,46122092595901248;0,45126839962417786;100,21057771538437;101,37623406122651;0
58;-1;0;-150;0;59,596545304727314;60,305553292470357;0,12207403790398877;0,13269304642549121;0,097659230323191015;0,10938121570101962;0,46122092595901248;0,45126839962417786;100,18616290780358;101,37632831792988;0
59;-1;0;-150;0;59,608752708517713;60,30556043988463;0,12207403790398877;0,132664644238477;0,097659230323191015;0,1093484909378703;0,46122092595901248;0,45126839962417786;100,22278511917477;101,37634569318608;0
60;-1;0;-150;0;59,608752708517713;60,30560585976761;0,12207403790398877;0,13263633009824252;0,097659230323191015;0,10931586762148675;0,46122092595901248;0,45126839962417786;100,22278511917477;101,37647789845606;0
