Name;YT Scope Project;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\Down100Bar80Signal030326.csv;
Starttime of export;134170089704510000;tirsdag 3. mars 2026;11:56:10.451
Endtime of export;134170089823120000;tirsdag 3. mars 2026;11:56:22.312


Name;fSpoolPosition;fU;fFlow;fFlowRef;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPistonPosition;fPistonPosMeasured;fPs;fPsFiltered;fUpfb

0;-1;0;-150;0;94,5463423566393;95,67986033179011;0,13428144169438766;0,13984676156881443;0,13428144169438766;0,11118655257087873;0,49934699652506864;0,5;101,50456251716666;102,66907340327903;0
1;-1;0;-150;0;94,5219275490585;95,679844640734345;0,13428144169438766;0,13983447749054639;0,13428144169438766;0,1112631151405043;0,49934699652506864;0,5;101,48014770958586;102,66921908834522;0
2;-1;0;-150;0;94,5219275490585;95,679752409069465;0,13428144169438766;0,139822231492921;0,13428144169438766;0,11133944036616404;0,49932421783147424;0,5;101,48014770958586;102,66928773253632;0
3;-1;0;-150;0;94,5219275490585;95,679660463322762;0,13428144169438766;0,13981002345788826;0,13428144169438766;0,11141552898362424;0,49932421783147424;0,5;101,44352549821467;102,66935616393043;0
4;-1;0;-150;0;94,5463423566393;95,679568802607861;0,13428144169438766;0,13979785326776412;0,13428144169438766;0,1114913817263703;0,49932421783147424;0,5;101,48014770958586;102,66930949931015;0
5;-1;0;-150;0;94,5585497604297;95,679554015292553;0,13428144169438766;0,13978572080522933;0,13428144169438766;0,11156699932561386;0,49932421783147424;0,5;101,50456251716666;102,66937786322727;0
6;-1;0;-150;0;94,5585497604297;95,6795775684436;0,13428144169438766;0,13977362595332843;0,12207403790398877;0,11164238251029976;0,49932421783147424;0,5;101,46794030579547;102,66952260446762;0
7;-1;0;-150;0;94,5585497604297;95,6796010485799;0,13428144169438766;0,1397615685954684;0,12207403790398877;0,11167923738142264;0,49932421783147424;0,5;101,46794030579547;102,66955201313304;0
8;-1;0;-150;0;94,5463423566393;95,67962445592778;0,13428144169438766;0,13974954861541775;0,12207403790398877;0,11171597800244504;0,49932421783147424;0,5;101,44352549821467;102,66958133063162;0
9;-1;0;-150;0;94,5097201452681;95,679609496087181;0,13428144169438766;0,13973756589730527;0,10986663411358989;0,11175260472754225;0,49932421783147424;0,5;101,46794030579547;102,66953396799457;0
10;-1;0;-150;0;94,5097201452681;95,679479698745013;0,13428144169438766;0,13972562032561894;0,12207403790398877;0,1117508232841012;0,49932421783147424;0,5;101,46794030579547;102,66956334143308;0
11;-1;0;-150;0;94,5097201452681;95,6793503037746;0,14648884548478652;0,13971371178520481;0,12207403790398877;0,11178734198882528;0,49932421783147424;0,5;101,44352549821467;102,66959262381391;0
12;-1;0;-150;0;94,5097201452681;95,6792213099286;0,14648884548478652;0,13974013478695646;0,12207403790398877;0,11182374748556473;0,49932421783147424;0,5;101,44352549821467;102,669545226168;0
13;-1;0;-150;0;94,5097201452681;95,67909271596352;0,14648884548478652;0,13976647587740271;0,12207403790398877;0,11186004012526428;0,49934699652506864;0,5;101,44352549821467;102,66949797545479;0
14;-1;0;-150;0;94,5219275490585;95,678964520639738;0,14648884548478652;0,13979273531046854;0,12207403790398877;0,11189622025778076;0,49934699652506864;0,5;101,48014770958586;102,66945087121879;0
15;-1;0;-150;0;94,4975127414777;95,678875017347153;0,13428144169438766;0,13981891333929186;0,12207403790398877;0,11193228823188645;0,49934699652506864;0,5;101,45573290200507;102,66951879688298;0
16;-1;0;-150;0;94,485305337687308;95,678709202263391;0,13428144169438766;0,13980671559053537;0,12207403790398877;0,11196824439527241;0,49934699652506864;0,5;101,46794030579547;102,66950992272625;0
17;-1;0;-150;0;94,485305337687308;95,6785056065807;0,13428144169438766;0,1397945556548;0,12207403790398877;0,11200408909455187;0,49934699652506864;0,5;101,46794030579547;102,66953937070507;0
18;-1;0;-150;0;94,485305337687308;95,678302642044628;0,13428144169438766;0,13978243341486543;0,12207403790398877;0,11203982267526356;0,49932421783147424;0,5;101,50456251716666;102,66956872739517;0
19;-1;0;-150;0;94,4975127414777;95,67810030669861;0,13428144169438766;0,13977034875387467;0,12207403790398877;0,11207544548187506;0,49932421783147424;0,5;101,50456251716666;102,66971287695659;0
20;-1;0;-150;0;94,5219275490585;95,677936893217847;0,13428144169438766;0,13975830155533295;0,12207403790398877;0,11211095785778605;0,49932421783147424;0,5;101,44352549821467;102,66985657965438;0
21;-1;0;-150;0;94,5219275490585;95,677850575570261;0,13428144169438766;0,13974629170310673;0,12207403790398877;0,11214636014533171;0,49932421783147424;0,5;101,45573290200507;102,66980836374535;0
22;-1;0;-150;0;94,5219275490585;95,6777645255074;0,13428144169438766;0,13973431908142242;0,12207403790398877;0,11218165268578598;0,49934699652506864;0,5;101,45573290200507;102,66979859193134;0
23;-1;0;-150;0;94,5097201452681;95,677678742199731;0,12207403790398877;0,1397223835748653;0,10986663411358989;0,11221683581936485;0,49934699652506864;0,5;101,48014770958586;102,66978885040994;0
24;-1;0;-150;0;94,5219275490585;95,677554930194617;0,12207403790398877;0,13967219044268803;0,10986663411358989;0,11221361525953914;0,49934699652506864;0,5;101,45573290200507;102,66985572833865;0
25;-1;0;-150;0;94,5585497604297;95,677469796632423;0,12207403790398877;0,1396221529092205;0,10986663411358989;0,11221040468344889;0,49934699652506864;0,5;101,40690328684347;102,66984580969439;0
26;-1;0;-150;0;94,5463423566393;95,67749981086132;0,12207403790398877;0,13957227049210674;0,10986663411358989;0,11220720406014452;0,49934699652506864;0,5;101,46794030579547;102,66968274329516;0
27;-1;0;-150;0;94,5463423566393;95,677491437420443;0,12207403790398877;0,139522542710486;0,10986663411358989;0,11220401335877239;0,49932421783147424;0,5;101,46794030579547;102,66971165553022;0
28;-1;0;-150;0;94,5829645680105;95,677483089937212;0,12207403790398877;0,1394729690849883;0,10986663411358989;0,11220083254857452;0,49932421783147424;0,5;101,48014770958586;102,66974047813736;0
29;-1;0;-150;0;94,5951719718009;95,677589652208255;0,12207403790398877;0,13942354913772964;0,10986663411358989;0,11219766159888825;0,49932421783147424;0,5;101,44352549821467;102,66980750602011;0
30;-1;0;-150;0;94,6073793755913;95,677734178761952;0,12207403790398877;0,13937428239230748;0,10986663411358989;0,11219450047914603;0,49932421783147424;0,5;101,45573290200507;102,66975944223935;0
31;-1;0;-150;0;94,6073793755913;95,677916551909007;0,12207403790398877;0,13932516837379613;0,10986663411358989;0,112191349158875;0,49932421783147424;0,5;101,49235511337626;102,66974982208201;0
32;-1;0;-150;0;94,6073793755913;95,67809835969932;0,12207403790398877;0,13927620660874215;0,10986663411358989;0,11218820760769682;0,49932421783147424;0,5;101,49235511337626;102,66985511562422;0
33;-1;0;-150;0;94,619586779381692;95,678279603885471;0,12207403790398877;0,13922739662515987;0,10986663411358989;0,11218507579532729;0,49932421783147424;0,5;101,45573290200507;102,66996008275645;0
34;-1;0;-150;0;94,644001586962489;95,678498580840355;0,13428144169438766;0,13917873795252667;0,097659230323191015;0,11218195369157609;0,49932421783147424;0,5;101,40690328684347;102,66994984061348;0
35;-1;0;-150;0;94,656208990752887;95,678793468218046;0,13428144169438766;0,13916852474746916;0,097659230323191015;0,11214054664065606;0,49934699652506864;0,5;101,44352549821467;102,66978645171841;0
36;-1;0;-150;0;94,656208990752887;95,67912573607056;0,13428144169438766;0,1391583432033473;0,097659230323191015;0,11209926795159386;0,49934699652506864;0,5;101,45573290200507;102,669738453206;0
37;-1;0;-150;0;94,656208990752887;95,679456973892727;0,13428144169438766;0,13914819322201222;0,097659230323191015;0,11205811722646776;0,49932421783147424;0,5;101,45573290200507;102,66972889811466;0
38;-1;0;-150;0;94,644001586962489;95,679787184877654;0,13428144169438766;0,13913807470561929;0,097659230323191015;0,11201709406858955;0,49934699652506864;0,5;101,40690328684347;102,6697193726441;0
39;-1;0;-150;0;94,619586779381692;95,680078077582849;0,12207403790398877;0,13912798755662717;0,097659230323191015;0,11197619808250077;0,49932421783147424;0,5;101,40690328684347;102,66955669819973;0
40;-1;0;-150;0;94,619586779381692;95,680291479269258;0,13428144169438766;0,13907963705210644;0,097659230323191015;0,11193542887396887;0,49932421783147424;0,5;101,48014770958586;102,66939452804613;0
41;-1;0;-150;0;94,619586779381692;95,680504219410452;0,12207403790398877;0,13906973105984022;0,097659230323191015;0,1118947860499834;0,49932421783147424;0,5;101,48014770958586;102,66946262837416;0
42;-1;0;-150;0;94,619586779381692;95,680716300057213;0,12207403790398877;0,13902156115045949;0,097659230323191015;0,1118542692187523;0,49932421783147424;0,5;101,48014770958586;102,66953051759118;0
43;-1;0;-150;0;94,6073793755913;95,680927723253959;0,12207403790398877;0,13897354056779787;0,10986663411358989;0,11181387798969802;0,49932421783147424;0,5;101,46794030579547;102,66959819635163;0
44;-1;0;-150;0;94,619586779381692;95,6811001964131;0,13428144169438766;0,1389256688489425;0,10986663411358989;0,11181190659914429;0,49932421783147424;0,5;101,49235511337626;102,66962737068222;0
45;-1;0;-150;0;94,5951719718009;95,681310429531138;0,12207403790398877;0,13891624015810608;0,10986663411358989;0,11180994131990127;0,49932421783147424;0,5;101,54118472853786;102,66973304382377;0
46;-1;0;-150;0;94,6073793755913;95,681443421675127;0,13428144169438766;0,13886854607052077;0,10986663411358989;0,11180798213302388;0,49932421783147424;0,5;101,52897732474746;102,66999156788134;0
47;-1;0;-150;0;94,6073793755913;95,681614296169158;0,13428144169438766;0,13885929446029746;0,10986663411358989;0,11180602901962583;0,49932421783147424;0,5;101,52897732474746;102,67021099588864;0
48;-1;0;-150;0;94,5829645680105;95,681784640952273;0,13428144169438766;0,13885007153006582;0,10986663411358989;0,11180408196087931;0,49932421783147424;0,5;101,49235511337626;102,6704297436691;0
49;-1;0;-150;0;94,5829645680105;95,681877868415157;0,13428144169438766;0,13884087719091792;0,10986663411358989;0,11180214093801491;0,49932421783147424;0,5;101,52897732474746;102,6705329294544;0
50;-1;0;-150;0;94,5463423566393;95,681970806872926;0,13428144169438766;0,13883171135422137;0,10986663411358989;0,11180020593232139;0,49932421783147424;0,5;101,54118472853786;102,67075067924083;0
51;-1;0;-150;0;94,5097201452681;95,6819485733444;0,12207403790398877;0,13882257393161859;0,10986663411358989;0,11179827692514553;0,49932421783147424;0,5;101,48014770958586;102,6710060486286;0
52;-1;0;-150;0;94,5097201452681;95,681811524862738;0,12207403790398877;0,13877517020933539;0,10986663411358989;0,11179635389789189;0,49932421783147424;0,5;101,48014770958586;102,67106915324284;0
53;-1;0;-150;0;94,5097201452681;95,681674901231361;0,12207403790398877;0,13872791343859125;0,10986663411358989;0,11179443683202274;0,49932421783147424;0,5;101,50456251716666;102,67113206223276;0
54;-1;0;-150;0;94,5097201452681;95,681538701133235;0,12207403790398877;0,13868080316383644;0,12207403790398877;0,1117925257090578;0,49932421783147424;0,5;101,55339213232826;102,67127136545618;0
55;-1;0;-150;0;94,4975127414777;95,681402923255433;0,12207403790398877;0,13863383893093334;0,10986663411358989;0,11182891513626454;0,49932421783147424;0,5;101,52897732474746;102,67156341534238;0
56;-1;0;-150;0;94,5097201452681;95,681229271663355;0,12207403790398877;0,13858702028715225;0,10986663411358989;0,11182689713055644;0,49932421783147424;0,5;101,46794030579547;102,67177797062254;0
57;-1;0;-150;0;94,5097201452681;95,6810944530169;0,12207403790398877;0,13854034678116689;0,10986663411358989;0,11182488538066604;0,49932421783147424;0,5;101,46794030579547;102,67180038765289;0
58;-1;0;-150;0;94,5219275490585;95,680960052308251;0,12207403790398877;0,13849381796305008;0,10986663411358989;0,1118228798672003;0,49932421783147424;0,5;101,49235511337626;102,67182273519045;0
59;-1;0;-150;0;94,4975127414777;95,6808643628675;0,12207403790398877;0,1384474333842694;0,097659230323191015;0,11182088057082631;0,49934699652506864;0,5;101,52897732474746;102,67192160270201;0
